id,course,question
0,ASU Online,Are the credits earned through ASU Online the same as those from on-campus classes?
0,ASU Online,How do other four-year universities view ASU Online credits when considering transfers?
0,ASU Online,Do transcripts show whether courses were taken online or on-campus at ASU?
0,ASU Online,Who decides if ASU Online credits can be transferred to a different institution?
0,ASU Online,Can I find out how my ASU Online credits apply to a specific program when transferring?
1,ASU Online,Is it possible to complete my program on a part-time basis?
1,ASU Online,What is the minimum number of credit hours required each semester?
1,ASU Online,Are there any financial aid implications for enrolling part-time?
1,ASU Online,How can I find out more about maintaining my financial aid while studying part-time?
1,ASU Online,Who can I contact for assistance with my academic schedule and program duration?
2,ASU Online,What additional steps are involved in the ASU Online admission process besides submitting an application?
2,ASU Online,Is there a specific fee that needs to be paid for the application to be complete?
2,ASU Online,What types of transcripts are required for students who haven't finished an associate degree?
2,ASU Online,Where should I send my transcripts for ASU Online admission?
2,ASU Online,What is the address for the Admission Services at Arizona State University?
3,ASU Online,Is financial aid available for students enrolled in ASU Online courses?
3,ASU Online,How can I learn more about financial aid options at ASU Online?
3,ASU Online,Can I speak with a financial aid counselor regarding ASU Online classes?
3,ASU Online,What resources are available to understand financial aid for ASU Online?
3,ASU Online,Are there specific eligibility criteria for receiving financial aid at ASU Online?
4,ASU Online,Do ASU Online students have the opportunity to attend graduation ceremonies on campus?
4,ASU Online,Where can I find more information about university graduation for ASU Online students?
4,ASU Online,Are there any specific guidelines for participating in graduation ceremonies at ASU?
4,ASU Online,Can I celebrate my graduation in person if I complete my degree online?
4,ASU Online,What should I know about the University Ceremonies related to my graduation?
5,ASU Online,Is it possible to study at ASU Online if I live in a different state or country?
5,ASU Online,Do I have to attend any classes in person to complete my degree online?
5,ASU Online,Are there any specific programs at ASU Online that require in-person attendance?
5,ASU Online,"If I need to complete an in-person requirement, can I do it at a local institution?"
5,ASU Online,What should I consider regarding my program’s specific requirements when studying online?
6,ASU Online,How does the quality of online programs at ASU compare to on-campus ones?
6,ASU Online,Will I be taught by the same faculty in ASU's online courses as in on-campus classes?
6,ASU Online,Is the academic rigor of ASU Online courses equivalent to that of traditional classes?
6,ASU Online,Can I expect the same level of content quality in ASU Online as I would in-person?
6,ASU Online,What assurances do I have regarding the standards of online education at ASU?
7,ASU Online,What steps need to be followed to obtain a student ID card as an online student?
7,ASU Online,Is there a fee associated with ordering the Sun Card for online students?
7,ASU Online,How long does it take to receive the student ID card after applying?
7,ASU Online,Can online students submit their ID photo and identification verification digitally?
7,ASU Online,What is the process for completing the Sun Card Request form once my photo is approved?
8,ASU Online,Are online students eligible for research opportunities?
8,ASU Online,Can research be conducted remotely by online students?
8,ASU Online,What types of disciplines are available for online research participation?
8,ASU Online,Are there any in-person research options for online students?
8,ASU Online,Do online students in the Phoenix area have access to campus research?
9,ASU Online,Is it possible to pursue more than one bachelor's degree at ASU Online simultaneously?
9,ASU Online,What steps do I need to take to add a second or third major after applying?
9,ASU Online,Can graduate students also work on multiple degrees at the same time at ASU Online?
9,ASU Online,What is required to apply for concurrent graduate degrees at ASU?
9,ASU Online,How might pursuing multiple degrees affect my graduation timeline?
10,ASU Online,Does the tuition fee cover the cost of textbooks?
10,ASU Online,Are the expenses for textbooks part of the tuition cost?
10,ASU Online,Can I expect textbook fees to be included in my tuition?
10,ASU Online,Will I have to pay separately for textbooks beyond tuition?
10,ASU Online,Are textbooks provided within the tuition at ASU Online?
11,ASU Online,Is ASU Online recognized by any accrediting bodies?
11,ASU Online,What type of accreditation does ASU Online hold?
11,ASU Online,Why is regional accreditation important for my education?
11,ASU Online,Do ASU Online programs have any specialized accreditations?
11,ASU Online,How does ASU's accreditation compare to other universities?
12,ASU Online,What is the process to apply for an online master's degree or PhD program at ASU?
12,ASU Online,Are graduate students classified as transfer students when applying to ASU Online?
12,ASU Online,How many graduate-level credit hours can be accepted from another institution?
12,ASU Online,What are the grade requirements for previously earned credits to be considered for admission?
12,ASU Online,Is there a time limit on when preadmission credits must have been completed?
13,ASU Online,Will my diploma indicate that I earned my degree online or simply from Arizona State University?
13,ASU Online,What will my transcript show regarding my degree from ASU Online?
13,ASU Online,Is there a difference in how the diploma looks for online students versus on-campus students?
13,ASU Online,Does the faculty for ASU Online courses come from Arizona State University?
13,ASU Online,Is an online degree from ASU equivalent to a traditional degree from ASU?
14,ASU Online,What is the maximum number of credit hours I can take in a semester at ASU Online?
14,ASU Online,Can I enroll in different sessions simultaneously at ASU Online?
14,ASU Online,What is the limit on credit hours during summer sessions at ASU Online?
14,ASU Online,How many classes does 18 credit hours typically equate to at ASU Online?
14,ASU Online,Are there specific credit hour limits for engineering programs at ASU Online?
15,ASU Online,Can undergraduate students receive financial gift aid for online degrees at ASU?
15,ASU Online,What do I need to do to qualify for federal student aid at ASU?
15,ASU Online,Are grants available for online-degree-seeking students at ASU?
15,ASU Online,What financial aid options are available for graduate students at ASU?
15,ASU Online,Where can I find information about scholarships for grad students at ASU?
16,ASU Online,What type of computer is recommended for taking ASU Online courses?
16,ASU Online,Are there specific internet browsers I should use for online classes?
16,ASU Online,Can I use a mobile device to attend ASU Online courses?
16,ASU Online,What multimedia tools are included in ASU Online courses?
16,ASU Online,Is Linux supported in ASU Online courses?
17,ASU Online,Are there options to combine online and on-campus classes at ASU?
17,ASU Online,What must I do if I want to take courses on campus while studying online?
17,ASU Online,Can on-campus students enroll in online courses?
17,ASU Online,What are iCourses and who can take them?
17,ASU Online,Is there a fee associated with taking iCourses as an on-campus student?
18,ASU Online,Is it possible to switch between online and on-campus learning formats at ASU?
18,ASU Online,What are the criteria for transferring between online and campus programs?
18,ASU Online,Can you tell me if all degree programs allow switching learning modalities?
18,ASU Online,How does my financial situation affect my ability to change my program format?
18,ASU Online,Where can I find support for transitioning between online and on-campus studies?
19,ASU Online,"After completing the admission process, when can I start registering for classes at ASU Online?"
19,ASU Online,What do I need to do in order to check my admission status after applying to ASU Online?
19,ASU Online,How will I know if I have any holds on my record that prevent me from registering?
19,ASU Online,What should I do if I find holds on my record before I can register for classes?
19,ASU Online,Where can I find the exact date and time for my enrollment appointment once admitted to ASU Online?
20,ASU Online,What methods do instructors use to share materials and promote interaction in online classes?
20,ASU Online,How does the online classroom experience differ from traditional classrooms?
20,ASU Online,Are there any specific log-on times required for online courses?
20,ASU Online,What is the typical flexibility like for completing assignments in an online degree program?
20,ASU Online,Will any assignments or tests have limited availability during the semester?
21,ASU Online,What factors influence the cost of tuition for ASU Online programs?
21,ASU Online,Is there a way to estimate my tuition fees before financial aid?
21,ASU Online,How do scholarships and grants impact tuition expenses at ASU Online?
21,ASU Online,Where can I find the standard cost of attendance for ASU Online?
21,ASU Online,What percentage of students receive financial aid at ASU Online?
22,ASU Online,Can you explain what Earned Admission is?
22,ASU Online,How does the Earned Admission process work?
22,ASU Online,What criteria do I need to meet for Earned Admission?
22,ASU Online,Is there a specific number of credit hours required for Earned Admission?
22,ASU Online,What type of courses can I take for Earned Admission?
23,ASU Online,What types of scholarships does ASU offer for online students?
23,ASU Online,Where can I find more information about ASU scholarships?
23,ASU Online,Are there specific eligibility requirements for ASU scholarships?
23,ASU Online,Can I apply for scholarships if I am already enrolled at ASU?
23,ASU Online,How can I stay updated on new scholarship opportunities at ASU?
24,ASU Online,What is the procedure to access my ASU email account?
24,ASU Online,Is there a difference between my ASU Gmail account and a personal Gmail account?
24,ASU Online,How can I hide my ASU email information from the electronic directories?
24,ASU Online,What resources are available to help me with ASU Gmail?
24,ASU Online,Where can I find my official ASU email address if I'm unsure?
25,ASU Online,What are the admission requirements for first-year students at ASU Online?
25,ASU Online,Is it necessary to have a high school diploma to apply to ASU Online?
25,ASU Online,Can I get admitted to ASU Online with only a GED?
25,ASU Online,What should I review to understand ASU Online admission criteria?
25,ASU Online,Are there specific documents needed for ASU Online admission?
26,ASU Online,Is it possible to enroll in online courses without pursuing a degree at ASU?
26,ASU Online,What is the process for applying as a nondegree student at ASU?
26,ASU Online,Will the courses I take as a nondegree student be credited to an ASU transcript?
26,ASU Online,Can I take individual classes for personal interest at ASU?
26,ASU Online,Are the grades earned in nondegree courses reflected on my academic record at ASU?
